Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,47800,69.77615062761507,67.75097813405712,85.7,49.2,81.7,45.0,81.2,84.5,49.2,66.8,95.7,61.1,85.1,49.2,73.5,61.2,69.7,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,11273,67.80803690233301,66.06997927042636,85.1,47.4,78.9,40.7,87.0,88.1,47.5,63.9,96.2,56.6,86.6,47.4,70.6,57.2,68.6,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,47800,83.69665271966528,79.04894095200048,86.8,53.5,93.5,78.9,76.2,85.9,52.4,84.0,91.5,90.5,86.3,53.0,88.5,84.7,82.7,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,11273,82.56897010556197,78.41149717801666,85.0,52.4,93.9,80.4,72.2,88.6,51.4,80.1,92.0,92.6,86.7,51.9,86.5,85.8,81.2,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,11273,87.50110884414086,83.30450306730008,90.0,62.3,94.4,83.4,82.3,88.8,60.4,89.1,93.3,90.1,89.4,61.3,91.7,88.1,86.1,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss3_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,47800,86.52301255230125,81.97875553248765,90.7,60.4,92.1,85.0,81.9,86.1,57.9,90.2,86.1,89.8,88.4,59.1,91.2,85.6,85.7,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,11273,86.57855051893905,81.98814393494476,85.8,60.3,92.6,89.7,80.8,88.5,55.9,89.4,87.7,90.1,87.1,58.0,91.0,88.7,85.2,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,11273,88.87607557881664,84.80089952539396,89.8,64.7,92.7,92.4,86.2,90.6,63.6,92.7,85.3,90.3,90.2,64.1,92.7,88.8,88.2,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss3_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
mass_ss1_with_channel_eeg_c4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,10379,84.1699585701898,81.14089268248338,93.5,68.6,86.2,74.6,83.7,92.6,65.3,87.8,74.0,85.2,93.0,66.9,87.0,74.3,84.4,../metadata/mass_ss1_with_channel_eeg_c4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
mass_ss1_with_channel_eeg_c4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,34308,69.39780809140726,62.93518488464456,61.3,35.1,81.3,59.2,77.8,53.1,25.3,70.7,96.8,80.7,56.9,29.4,75.7,73.5,79.2,../metadata/mass_ss1_with_channel_eeg_c4_to_sleepedf_with_channel_eeg_fpz_cz_with_randomseed_4242/predict_output_mass_ss1_eeg_c4_to_sleepedf_eeg_fpz_cz_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
